measurementID,eventID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementMethod,measurementRemarks
P04E1_20181211_S10,P04E1_20181211,nitrogen,0.15649,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P04E1_20181211_S11,P04E1_20181211,carbon,10.55,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P04E1_20181211_S12,P04E1_20181211,carbon to nitrogen ratio,67.4164483353569,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P04E1_20181211_S13,P04E1_20181211,cation exchange capacity,16,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P04E1_20181211_S15,P04E1_20181211,oxidizable organic matter,4.4,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P04E1_20181211_S16,P04E1_20181211,soil pH value,7.96,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04E1_20181211_S18,P04E1_20181211,EEZ soil pH value,7.96,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04E1_20181211_S17,P04E1_20181211,pH value,7.54,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P04E2_20181211_S03,P04E2_20181211,soil moisture,9.467455621302035,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P04E2_20181211_S04,P04E2_20181211,ammonium,1.166,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P04E2_20181211_S05,P04E2_20181211,nitrate content,0.608,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P04E2_20181211_S06,P04E2_20181211,iron,1.15,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P04E2_20181211_S07,P04E2_20181211,potassium,0.279,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P04E2_20181211_S08,P04E2_20181211,magnesium,0.641,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P04E2_20181211_S09,P04E2_20181211,sodium,0.026,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P04E2_20181211_S10,P04E2_20181211,nitrogen,0.269035,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P04E2_20181211_S11,P04E2_20181211,carbon,12.2,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P04E2_20181211_S12,P04E2_20181211,carbon to nitrogen ratio,45.34725965023138,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P04E2_20181211_S13,P04E2_20181211,cation exchange capacity,16,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P04E2_20181211_S15,P04E2_20181211,oxidizable organic matter,7.86,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P04E2_20181211_S16,P04E2_20181211,soil pH value,7.91,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04E2_20181211_S18,P04E2_20181211,EEZ soil pH value,7.91,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04E2_20181211_S17,P04E2_20181211,pH value,7.46,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P11R1_20181211_S03,P11R1_20181211,soil moisture,10.063758875525108,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P11R1_20181211_S04,P11R1_20181211,ammonium,0.512,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P11R1_20181211_S05,P11R1_20181211,nitrate content,0.554,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P11R1_20181211_S06,P11R1_20181211,iron,2.051,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P11R1_20181211_S07,P11R1_20181211,potassium,0.266,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P11R1_20181211_S08,P11R1_20181211,magnesium,1.206,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P11R1_20181211_S09,P11R1_20181211,sodium,0.021,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P11R1_20181211_S10,P11R1_20181211,nitrogen,0.0976,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P11R1_20181211_S11,P11R1_20181211,carbon,4.365,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P11R1_20181211_S12,P11R1_20181211,carbon to nitrogen ratio,44.72336065573771,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P11R1_20181211_S13,P11R1_20181211,cation exchange capacity,15,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P11R1_20181211_S15,P11R1_20181211,oxidizable organic matter,2.24,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P11R1_20181211_S16,P11R1_20181211,soil pH value,8,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R1_20181211_S18,P11R1_20181211,EEZ soil pH value,8,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R1_20181211_S17,P11R1_20181211,pH value,7.42,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P11R2_20181211_S03,P11R2_20181211,soil moisture,10.247486465583988,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P11R2_20181211_S04,P11R2_20181211,ammonium,0.687,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P11R2_20181211_S05,P11R2_20181211,nitrate content,1.042,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P11R2_20181211_S06,P11R2_20181211,iron,0.341,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P11R2_20181211_S07,P11R2_20181211,potassium,0.056,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P11R2_20181211_S08,P11R2_20181211,magnesium,0.252,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P11R2_20181211_S09,P11R2_20181211,sodium,0.005,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P11R2_20181211_S10,P11R2_20181211,nitrogen,0.13574,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P11R2_20181211_S11,P11R2_20181211,carbon,3.99,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P11R2_20181211_S12,P11R2_20181211,carbon to nitrogen ratio,29.394430528952412,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P11R2_20181211_S13,P11R2_20181211,cation exchange capacity,16,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P11R2_20181211_S15,P11R2_20181211,oxidizable organic matter,2.5,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P11R2_20181211_S16,P11R2_20181211,soil pH value,7.93,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R2_20181211_S18,P11R2_20181211,EEZ soil pH value,7.93,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R2_20181211_S17,P11R2_20181211,pH value,7.37,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P11R3_20181211_S03,P11R3_20181211,soil moisture,15.332850940665843,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P11R3_20181211_S04,P11R3_20181211,ammonium,0.586,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P11R3_20181211_S05,P11R3_20181211,nitrate content,1.698,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P11R3_20181211_S06,P11R3_20181211,iron,2.014,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P11R3_20181211_S07,P11R3_20181211,potassium,0.537,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P11R3_20181211_S08,P11R3_20181211,magnesium,1.51,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P11R3_20181211_S09,P11R3_20181211,sodium,0.052,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P11R3_20181211_S10,P11R3_20181211,nitrogen,0.24627,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P11R3_20181211_S11,P11R3_20181211,carbon,5.485,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P11R3_20181211_S12,P11R3_20181211,carbon to nitrogen ratio,22.27230275713648,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P11R3_20181211_S13,P11R3_20181211,cation exchange capacity,20,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P11R3_20181211_S15,P11R3_20181211,oxidizable organic matter,9.49,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P11R3_20181211_S16,P11R3_20181211,soil pH value,7.94,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R3_20181211_S18,P11R3_20181211,EEZ soil pH value,7.94,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R3_20181211_S17,P11R3_20181211,pH value,7.36,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P11R4_20181211_S03,P11R4_20181211,soil moisture,15.067972962709963,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P11R4_20181211_S04,P11R4_20181211,ammonium,0.82,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P11R4_20181211_S05,P11R4_20181211,nitrate content,1.325,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P11R4_20181211_S06,P11R4_20181211,iron,2.133,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P11R4_20181211_S07,P11R4_20181211,potassium,0.502,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P11R4_20181211_S08,P11R4_20181211,magnesium,1.383,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P11R4_20181211_S09,P11R4_20181211,sodium,0.048,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P11R4_20181211_S10,P11R4_20181211,nitrogen,0.34264,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P11R4_20181211_S11,P11R4_20181211,carbon,6.69,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P11R4_20181211_S12,P11R4_20181211,carbon to nitrogen ratio,19.524865748307263,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P11R4_20181211_S13,P11R4_20181211,cation exchange capacity,19,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P11R4_20181211_S15,P11R4_20181211,oxidizable organic matter,7.89,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P11R4_20181211_S16,P11R4_20181211,soil pH value,7.93,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R4_20181211_S18,P11R4_20181211,EEZ soil pH value,7.93,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11R4_20181211_S17,P11R4_20181211,pH value,7.39,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P11E1_20181211_S03,P11E1_20181211,soil moisture,17.37600649570289,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P11E1_20181211_S04,P11E1_20181211,ammonium,1.182,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P11E1_20181211_S05,P11E1_20181211,nitrate content,1.932,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P11E1_20181211_S06,P11E1_20181211,iron,1.79,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P11E1_20181211_S07,P11E1_20181211,potassium,0.466,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P11E1_20181211_S08,P11E1_20181211,magnesium,1.029,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P11E1_20181211_S09,P11E1_20181211,sodium,0.042,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P11E1_20181211_S10,P11E1_20181211,nitrogen,0.3332,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P11E1_20181211_S11,P11E1_20181211,carbon,8.77,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P11E1_20181211_S12,P11E1_20181211,carbon to nitrogen ratio,26.32052821128451,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P11E1_20181211_S13,P11E1_20181211,cation exchange capacity,19,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P11E1_20181211_S15,P11E1_20181211,oxidizable organic matter,8.81,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P11E1_20181211_S16,P11E1_20181211,soil pH value,7.81,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11E1_20181211_S18,P11E1_20181211,EEZ soil pH value,7.81,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P11E1_20181211_S17,P11E1_20181211,pH value,7.32,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P11E2_20181211_S03,P11E2_20181211,soil moisture,13.31144605282798,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P11E2_20181211_S04,P11E2_20181211,ammonium,0.712,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P11E2_20181211_S05,P11E2_20181211,nitrate content,1.224,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P11E2_20181211_S06,P11E2_20181211,iron,1.926,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P11E2_20181211_S07,P11E2_20181211,potassium,0.414,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P11E2_20181211_S08,P11E2_20181211,magnesium,1.37,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P11E2_20181211_S09,P11E2_20181211,sodium,0.035,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P11E2_20181211_S10,P11E2_20181211,nitrogen,0.266725,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P11E2_20181211_S11,P11E2_20181211,carbon,7.215,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P11E2_20181211_S12,P11E2_20181211,carbon to nitrogen ratio,27.050332739713188,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
