measurementID,eventID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementMethod,measurementRemarks
P04Q1_20181121_V04,P04Q1_20181121,maximum height,41.17,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q8_20191218_V04,P04Q8_20191218,maximum height,27.66,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q8_20200519_V04,P04Q8_20200519,maximum height,26.27,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q8_20201117_V04,P04Q8_20201117,maximum height,27.18,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q8_20210519_V04,P04Q8_20210519,maximum height,32.63,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q1_20181121_V04,P11Q1_20181121,maximum height,42.61,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q1_20190604_V04,P11Q1_20190604,maximum height,28.79,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q1_20191218_V04,P11Q1_20191218,maximum height,2.69,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q1_20200519_V04,P11Q1_20200519,maximum height,25.28,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q1_20201117_V04,P11Q1_20201117,maximum height,26.07,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q1_20210519_V04,P11Q1_20210519,maximum height,63.21,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q2_20181121_V04,P11Q2_20181121,maximum height,58.55,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q2_20190604_V04,P11Q2_20190604,maximum height,29.57,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q2_20191218_V04,P11Q2_20191218,maximum height,6.73,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q2_20200519_V04,P11Q2_20200519,maximum height,13.26,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q2_20201117_V04,P11Q2_20201117,maximum height,14.42,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q2_20210519_V04,P11Q2_20210519,maximum height,21.16,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q3_20181121_V04,P11Q3_20181121,maximum height,128.9,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q3_20190604_V04,P11Q3_20190604,maximum height,9.45,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q3_20191218_V04,P11Q3_20191218,maximum height,4.96,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q3_20200519_V04,P11Q3_20200519,maximum height,20.6,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q3_20201117_V04,P11Q3_20201117,maximum height,9.19,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q3_20210519_V04,P11Q3_20210519,maximum height,12.15,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q4_20181121_V04,P11Q4_20181121,maximum height,256.05,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q4_20190604_V04,P11Q4_20190604,maximum height,21.85,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q4_20191218_V04,P11Q4_20191218,maximum height,14.14,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q4_20200519_V04,P11Q4_20200519,maximum height,31.05,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q4_20201117_V04,P11Q4_20201117,maximum height,32.11,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q4_20210519_V04,P11Q4_20210519,maximum height,43.17,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q5_20181121_V04,P11Q5_20181121,maximum height,54.87,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q5_20190604_V04,P11Q5_20190604,maximum height,13.25,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q5_20191218_V04,P11Q5_20191218,maximum height,2.15,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q5_20200519_V04,P11Q5_20200519,maximum height,20.02,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q5_20201117_V04,P11Q5_20201117,maximum height,19.94,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q5_20210519_V04,P11Q5_20210519,maximum height,11.04,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q6_20181121_V04,P11Q6_20181121,maximum height,75.68,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q6_20190604_V04,P11Q6_20190604,maximum height,21.15,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q6_20191218_V04,P11Q6_20191218,maximum height,8.47,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q6_20200519_V04,P11Q6_20200519,maximum height,14.78,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q6_20201117_V04,P11Q6_20201117,maximum height,22.03,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q6_20210519_V04,P11Q6_20210519,maximum height,35.64,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q7_20181121_V04,P11Q7_20181121,maximum height,83.88,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q7_20190604_V04,P11Q7_20190604,maximum height,9.49,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q7_20191218_V04,P11Q7_20191218,maximum height,40.75,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q7_20200519_V04,P11Q7_20200519,maximum height,45.61,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q7_20201117_V04,P11Q7_20201117,maximum height,45.11,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q7_20210519_V04,P11Q7_20210519,maximum height,66.53,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q8_20181121_V04,P11Q8_20181121,maximum height,82.16,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q8_20190604_V04,P11Q8_20190604,maximum height,20.37,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q8_20191218_V04,P11Q8_20191218,maximum height,24.27,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q8_20200519_V04,P11Q8_20200519,maximum height,20.68,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q8_20201117_V04,P11Q8_20201117,maximum height,26.49,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P11Q8_20210519_V04,P11Q8_20210519,maximum height,28.61,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q1_20181121_V04,P12Q1_20181121,maximum height,113.25,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q1_20190604_V04,P12Q1_20190604,maximum height,25.8,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q1_20191218_V04,P12Q1_20191218,maximum height,45.3,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q1_20200519_V04,P12Q1_20200519,maximum height,50.86,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q1_20201117_V04,P12Q1_20201117,maximum height,53.78,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q1_20210519_V04,P12Q1_20210519,maximum height,45.98,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q2_20181121_V04,P12Q2_20181121,maximum height,109.86,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q2_20190604_V04,P12Q2_20190604,maximum height,15.84,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q2_20191218_V04,P12Q2_20191218,maximum height,43.07,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q2_20200519_V04,P12Q2_20200519,maximum height,47.89,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q2_20201117_V04,P12Q2_20201117,maximum height,53.7,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q2_20210519_V04,P12Q2_20210519,maximum height,48.24,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q3_20181121_V04,P12Q3_20181121,maximum height,54.04,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q3_20190604_V04,P12Q3_20190604,maximum height,38.03,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q3_20191218_V04,P12Q3_20191218,maximum height,143.79,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q3_20200519_V04,P12Q3_20200519,maximum height,8.92,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q3_20201117_V04,P12Q3_20201117,maximum height,11.64,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q3_20210519_V04,P12Q3_20210519,maximum height,9.66,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q4_20181121_V04,P12Q4_20181121,maximum height,60.72,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q4_20190604_V04,P12Q4_20190604,maximum height,17.71,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q4_20191218_V04,P12Q4_20191218,maximum height,9.2,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q4_20200519_V04,P12Q4_20200519,maximum height,16.56,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q4_20201117_V04,P12Q4_20201117,maximum height,19.39,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q4_20210519_V04,P12Q4_20210519,maximum height,20.36,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q5_20181121_V04,P12Q5_20181121,maximum height,56,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q5_20190604_V04,P12Q5_20190604,maximum height,15.11,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q5_20191218_V04,P12Q5_20191218,maximum height,11.4,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q5_20200519_V04,P12Q5_20200519,maximum height,11.85,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q5_20201117_V04,P12Q5_20201117,maximum height,25.6,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q5_20210519_V04,P12Q5_20210519,maximum height,14.53,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q6_20181121_V04,P12Q6_20181121,maximum height,30.68,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q6_20190604_V04,P12Q6_20190604,maximum height,38.26,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q6_20191218_V04,P12Q6_20191218,maximum height,29.47,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q6_20200519_V04,P12Q6_20200519,maximum height,35.31,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q6_20201117_V04,P12Q6_20201117,maximum height,42.71,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q6_20210519_V04,P12Q6_20210519,maximum height,33.45,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q7_20181121_V04,P12Q7_20181121,maximum height,39.63,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q7_20190604_V04,P12Q7_20190604,maximum height,35.55,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q7_20191218_V04,P12Q7_20191218,maximum height,34.72,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q7_20200519_V04,P12Q7_20200519,maximum height,37.37,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q7_20201117_V04,P12Q7_20201117,maximum height,47.12,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q7_20210519_V04,P12Q7_20210519,maximum height,41.95,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q8_20181121_V04,P12Q8_20181121,maximum height,34.57,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q8_20190604_V04,P12Q8_20190604,maximum height,43.77,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q8_20191218_V04,P12Q8_20191218,maximum height,16.78,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q8_20200519_V04,P12Q8_20200519,maximum height,30.42,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q8_20201117_V04,P12Q8_20201117,maximum height,21.13,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P12Q8_20210519_V04,P12Q8_20210519,maximum height,17.89,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P14Q1_20181121_V04,P14Q1_20181121,maximum height,103.99,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P14Q1_20190604_V04,P14Q1_20190604,maximum height,31.94,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P14Q1_20191218_V04,P14Q1_20191218,maximum height,43.96,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P14Q1_20200519_V04,P14Q1_20200519,maximum height,56.85,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P14Q1_20201117_V04,P14Q1_20201117,maximum height,64.25,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P14Q1_20210519_V04,P14Q1_20210519,maximum height,68.14,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
